case_id,categoria,pregunta,status,metric_eligible,relevant_chunk_ids,retrieved_chunk_ids,recall_at_3,recall_at_5,precision_at_3,precision_at_5,error_code,error_message
AI-ES-001-Q01,IA,¿Qué pretende introducir este módulo sobre inteligencia artificial?,success,True,['AI-ES-001_CH_001'],"['AI-ES-002_CH_001', 'AI-ES-001_CH_001', 'AI-ES-001_CH_002', 'AI-ES-002_CH_002', 'DS-ES-002_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
AI-ES-001-Q02,IA,¿Es obligatorio conocer aprendizaje automático antes de iniciar el módulo?,success,True,['AI-ES-001_CH_001'],"['AI-ES-002_CH_002', 'AI-ES-001_CH_002', 'AI-ES-002_CH_001', 'FE-ES-002_CH_002', 'AI-ES-001_CH_001']",0.0,1.0,0.0,0.2,,
AI-ES-001-Q03,IA,Menciona dos cargas de trabajo de IA tratadas en el módulo.,success,True,['AI-ES-001_CH_002'],"['AI-ES-001_CH_002', 'AI-ES-002_CH_001', 'AI-ES-002_CH_002', 'AI-ES-001_CH_001', 'DS-ES-002_CH_002']",1.0,1.0,0.3333333333333333,0.2,,
AI-ES-001-Q04,IA,¿Qué tema del módulo aborda el uso ético o seguro de la IA?,success,True,['AI-ES-001_CH_002'],"['AI-ES-001_CH_002', 'AI-ES-001_CH_001', 'AI-ES-002_CH_001', 'AI-ES-002_CH_002', 'DS-ES-001_CH_002']",1.0,1.0,0.3333333333333333,0.2,,
AI-ES-001-Q05,IA,¿Qué conocimiento previo puede ser útil antes de iniciar el módulo?,success,True,['AI-ES-001_CH_001'],"['FE-ES-002_CH_002', 'AI-ES-002_CH_002', 'DS-ES-002_CH_002', 'DS-ES-002_CH_001', 'DS-ES-001_CH_002']",0.0,0.0,0.0,0.0,,
AI-ES-002-Q01,IA,¿Qué conceptos principales de IA generativa aborda el módulo?,success,True,['AI-ES-002_CH_001'],"['AI-ES-002_CH_001', 'AI-ES-001_CH_002', 'AI-ES-001_CH_001', 'AI-ES-002_CH_002', 'DS-ES-002_CH_001']",1.0,1.0,0.3333333333333333,0.2,,
AI-ES-002-Q02,IA,¿Qué debe poder explicar el estudiante sobre los LLM al finalizar?,success,True,['AI-ES-002_CH_001'],"['AI-ES-002_CH_001', 'DS-ES-002_CH_001', 'DS-ES-001_CH_002', 'AI-ES-002_CH_002', 'DS-ES-002_CH_002']",1.0,1.0,0.3333333333333333,0.2,,
AI-ES-002-Q03,IA,¿Qué habilidad relacionada con prompts se espera desarrollar?,success,True,['AI-ES-002_CH_001'],"['AI-ES-002_CH_002', 'DS-ES-002_CH_001', 'AI-ES-001_CH_002', 'FE-ES-002_CH_007', 'AI-ES-002_CH_001']",0.0,1.0,0.0,0.2,,
AI-ES-002-Q04,IA,¿Qué conocimientos previos recomienda el módulo?,success,True,['AI-ES-002_CH_002'],"['DS-ES-002_CH_002', 'DS-ES-001_CH_002', 'DS-ES-002_CH_001', 'AI-ES-002_CH_002', 'AI-ES-001_CH_002']",0.0,1.0,0.0,0.2,,
AI-ES-002-Q05,IA,¿El módulo incluye agentes de IA?,success,True,"['AI-ES-002_CH_001', 'AI-ES-002_CH_002']","['AI-ES-001_CH_002', 'AI-ES-002_CH_001', 'AI-ES-002_CH_002', 'AI-ES-001_CH_001', 'DS-ES-002_CH_002']",1.0,1.0,0.6666666666666666,0.4,,
BE-ES-001-Q01,Backend,¿Qué clase se importa para crear una aplicación FastAPI?,success,True,['BE-ES-001_CH_010'],"['BE-ES-001_CH_018', 'BE-ES-001_CH_011', 'BE-ES-001_CH_001', 'BE-ES-001_CH_009', 'BE-ES-001_CH_013']",0.0,0.0,0.0,0.0,,
BE-ES-001-Q02,Backend,¿Qué representa la variable app en el ejemplo inicial?,success,True,['BE-ES-001_CH_011'],"['BE-ES-002_CH_014', 'FE-ES-002_CH_005', 'BE-ES-001_CH_005', 'BE-ES-001_CH_019', 'FE-ES-002_CH_004']",0.0,0.0,0.0,0.0,,
BE-ES-001-Q03,Backend,¿Qué indica el decorador @app.get('/')?,success,True,['BE-ES-001_CH_013'],"['BE-ES-001_CH_014', 'BE-ES-001_CH_019', 'FE-ES-001_CH_019', 'FE-ES-001_CH_020', 'FE-ES-001_CH_010']",0.0,0.0,0.0,0.0,,
BE-ES-001-Q04,Backend,¿Dónde se encuentra la documentación interactiva automática basada en Swagger UI?,success,True,['BE-ES-001_CH_004'],"['CLD-ES-001_CH_004', 'BE-ES-001_CH_004', 'FE-ES-001_CH_005', 'CLD-ES-001_CH_011', 'BE-ES-001_CH_007']",1.0,1.0,0.3333333333333333,0.2,,
BE-ES-001-Q05,Backend,¿Qué archivo expone FastAPI automáticamente con el esquema OpenAPI en JSON?,success,True,['BE-ES-001_CH_006'],"['BE-ES-001_CH_006', 'BE-ES-001_CH_013', 'BE-ES-001_CH_001', 'BE-ES-001_CH_018', 'BE-ES-001_CH_005']",1.0,1.0,0.3333333333333333,0.2,,
