chunk_id,document_id,categoria,titulo_documento,chunk_index,char_count,chunk_text
AI-ES-001_CH_001,AI-ES-001,IA,Introducción a los conceptos de inteligencia artificial,1,747,"# Introducción a los conceptos de inteligencia artificial

- Módulo

- 10 Unidades

¿Tiene curiosidad por la inteligencia artificial? ¿Quieres entender de qué trata el revuelo? En este módulo se presenta el mundo de la inteligencia artificial.

## Objetivos de aprendizaje

En este módulo, obtendrá información sobre los tipos de soluciones que la inteligencia artificial puede hacer posible y tener en cuenta las prácticas de inteligencia artificial responsables.

## Requisitos previos

Aunque no es necesario, un conocimiento conceptual del aprendizaje automático puede ser útil para este módulo. Considere la posibilidad de completar la introducción a los conceptos de Machine Learning antes de iniciar este módulo.

- Introducción a la IA min"
AI-ES-001_CH_002,AI-ES-001,IA,Introducción a los conceptos de inteligencia artificial,2,530,"- Introducción a la IA min

- Inteligencia artificial y agentes generativos min

- Texto y lenguaje natural min

- Discurso min

- Visión por ordenador min

- Extracción de información min

- Inteligencia artificial responsable min

- Ejercicio: Exploración de las cargas de trabajo de IA min

- Evaluación de módulos min

- Resumen min

Resultados de la evaluación del módulo

Evalúe su comprensión de este módulo. Inicie sesión y responda correctamente a todas las preguntas para obtener la designación de aprobado en su perfil."
AI-ES-002_CH_001,AI-ES-002,IA,Introducción a la inteligencia artificial y los agentes generativos,1,778,"# Introducción a la inteligencia artificial y los agentes generativos

- Módulo

- 7 Unidades

La inteligencia artificial genera aplicaciones que pueden crear contenido, responder preguntas y ayudar con tareas. En este módulo, explorará los aspectos básicos de la inteligencia artificial generativa, incluidos los modelos de lenguaje grande (LLM), las solicitudes y los agentes de IA.

## Objetivos de aprendizaje

Al término de este módulo, sabrá hacer lo siguiente:

- Describir los conceptos básicos de la inteligencia artificial generativa.

- Explicar cómo funcionan los modelos de lenguaje (LLM) de gran tamaño.

- Considere cómo crear solicitudes eficaces para los LLM.

- Describir los conceptos básicos de los agentes y las soluciones de inteligencia artificial agente."
AI-ES-002_CH_002,AI-ES-002,IA,Introducción a la inteligencia artificial y los agentes generativos,2,720,"- Describir los conceptos básicos de los agentes y las soluciones de inteligencia artificial agente.

## Requisitos previos

Antes de iniciar este módulo, debería tener lo siguiente:

- Familiaridad con los conceptos y la terminología de la inteligencia artificial

- Principios básicos de aprendizaje automático.

- Introducción min

- Modelos de lenguaje grandes (LLM) min

- Mensajes min

- Agentes de IA min

- Ejercicio: Exploración de la inteligencia artificial generativa min

- Evaluación del módulo min

- Resumen min

Resultados de la evaluación del módulo

Evalúe su comprensión de este módulo. Inicie sesión y responda correctamente a todas las preguntas para obtener la designación de aprobado en su perfil."
BE-ES-001_CH_001,BE-ES-001,Backend,Primeros Pasos - FastAPI,1,657,"# Primeros Pasos

El archivo FastAPI más simple podría verse así:

```text
from fastapi import FastAPI

app = FastAPI()

@app.get(""/"")
async def root():
    return {""message"": ""Hello World""}
```

Copia eso en un archivo main.py .

`main.py`

Consejo

FastAPI tiene una extensión oficial para VS Code (y Cursor), que proporciona muchas funcionalidades, incluyendo un explorador de path operations, búsqueda de path operations, navegación CodeLens en tests (saltar a la definición desde los tests), y despliegue y logs de FastAPI Cloud, todo desde tu editor.

Ejecuta el servidor en vivo:

```text
$ uv run fastapi dev

FastAPI   Starting development server 🚀"
BE-ES-001_CH_002,BE-ES-001,Backend,Primeros Pasos - FastAPI,2,600,"Ejecuta el servidor en vivo:

```text
$ uv run fastapi dev

FastAPI   Starting development server 🚀

Searching for package file structure from directories
             with __init__.py files
             Importing from /home/user/code/awesomeapp

module   🐍 main.py

code   Importing the FastAPI app object from the module with
             the following code:

from main import app

app   Using import string: main:app

server   Server started at http://127.0.0.1:8000
  server   Documentation at http://127.0.0.1:8000/docs

tip   Running in development mode, for production use:
 fastapi run

Logs:"
BE-ES-001_CH_003,BE-ES-001,Backend,Primeros Pasos - FastAPI,3,781,"tip   Running in development mode, for production use:
 fastapi run

Logs:

INFO   Will watch for changes in these directories:
 ['/home/user/code/awesomeapp']
  INFO   Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C
             to quit)
  INFO   Started reloader process [383138] using WatchFiles
  INFO   Started server process [383153]
  INFO   Waiting for application startup.
  INFO   Application startup complete.
```

En el resultado, hay una línea con algo como:

```text
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
```

Esa línea muestra la URL donde tu aplicación está siendo servida, en tu máquina local.

### Revisa

Abre tu navegador en http://127.0.0.1:8000 .

Verás el response JSON como:

```text
{""message"": ""Hello World""}
```"
BE-ES-001_CH_004,BE-ES-001,Backend,Primeros Pasos - FastAPI,4,721,"Abre tu navegador en http://127.0.0.1:8000 .

Verás el response JSON como:

```text
{""message"": ""Hello World""}
```

### Documentación interactiva de la API

Ahora ve a http://127.0.0.1:8000/docs .

Verás la documentación interactiva automática de la API (proporcionada por Swagger UI ):

### Documentación alternativa de la API

Y ahora, ve a http://127.0.0.1:8000/redoc .

Verás la documentación alternativa automática (proporcionada por ReDoc ):

### OpenAPI

FastAPI genera un ""esquema"" con toda tu API utilizando el estándar OpenAPI para definir APIs.

#### ""Esquema""

Un ""esquema"" es una definición o descripción de algo. No el código que lo implementa, sino solo una descripción abstracta.

#### ""Esquema"" de la API"
BE-ES-001_CH_005,BE-ES-001,Backend,Primeros Pasos - FastAPI,5,704,"#### ""Esquema"" de la API

En este caso, OpenAPI es una especificación que dicta cómo definir un esquema de tu API.

Esta definición de esquema incluye los paths de tu API, los posibles parámetros que toman, etc.

#### ""Esquema"" de datos

El término ""esquema"" también podría referirse a la forma de algunos datos, como el contenido JSON.

En ese caso, significaría los atributos del JSON, los tipos de datos que tienen, etc.

#### OpenAPI y JSON Schema

OpenAPI define un esquema de API para tu API. Y ese esquema incluye definiciones (o ""esquemas"") de los datos enviados y recibidos por tu API utilizando JSON Schema , el estándar para esquemas de datos JSON.

#### Revisa el openapi.json

`openapi.json`"
BE-ES-001_CH_006,BE-ES-001,Backend,Primeros Pasos - FastAPI,6,724,"#### Revisa el openapi.json

`openapi.json`

Si tienes curiosidad por cómo se ve el esquema OpenAPI en bruto, FastAPI automáticamente genera un JSON (esquema) con las descripciones de toda tu API.

Puedes verlo directamente en: http://127.0.0.1:8000/openapi.json .

Mostrará un JSON que empieza con algo como:

```text
{
    ""openapi"": ""3.1.0"",
    ""info"": {
        ""title"": ""FastAPI"",
        ""version"": ""0.1.0""
    },
    ""paths"": {
        ""/items/"": {
            ""get"": {
                ""responses"": {
                    ""200"": {
                        ""description"": ""Successful Response"",
                        ""content"": {
                            ""application/json"": {

...
```

#### Para qué sirve OpenAPI"
